provider,locality,coverage,categories,public_price_examples,source_url,research_status,hoy_note
La Manga Bike / ECOMOBIKE,La Manga km 1.5,direct,"bicycle|e-bike|scooter-125|car","bicycle 15 EUR/day; e-bike 20 EUR/day; scooter 50 EUR/day; car 50 EUR/day",https://lamangabike.com/,research_confirmed,"Strong land-rental candidate"
Kayak Cabo de Palos,Cabo de Palos,direct,"kayak-single|kayak-double|SUP","single kayak 20 EUR/1.5h; double kayak 30 EUR/1.5h; SUP 20 EUR/1.5h",https://www.kayakcabodepalos.com/,research_confirmed,"Strong live-availability candidate"
Motos de Agua La Manga,Puerto Tomas Maestre,direct,"jet-ski|guided-jet-ski",,https://www.motosdeagualamanga.com/,research_confirmed,"Capture detailed route prices next"
Maleni Jet,La Manga km 5,direct,"jet-ski|boat-no-licence|kayak|banana",,,research_confirmed,"First-party product/price verification needed"
Portless La Manga,La Manga,direct,"boat-no-licence|motorboat","Trinity 120 EUR/2h; Delux II 200 EUR/2h",https://www.portlesslamanga.com/alquiler-barcos/,research_confirmed,"Good structured boat-product example"
Life Aholic,Puerto Tomas Maestre,direct,"boat-rental",,,business_index_confirmed,"Extract fleet and public prices"
Luxury Charter La Manga,Puerto Tomas Maestre,direct,"boat-rental",,,business_index_confirmed,"Extract fleet and public prices"
Mar Menor Charter,La Manga / Estacio,direct,"boat-rental",,,business_index_confirmed,"Extract fleet and public prices"
Nautical Ark / Velfun,Puerto Tomas Maestre,direct,"sailboat|boat-no-skipper",,,business_index_confirmed,"Check whether two names are same operator"
Jade Sailing,Cabo de Palos,direct,"boat-rental",,,business_index_confirmed,"Extract fleet and public prices"
Djinn Charter,Cabo de Palos,direct,"boat-rental|boat-tour",,,business_index_confirmed,"Separate rentals from excursions"
Jesalcar,Los Narejos / Los Alcazares,nearby,"bicycle|e-bike",,https://negocioslosalcazares.com/negocios/jesalcar/,research_confirmed,"Nearby option, not direct La Manga"
OriMar Bikes,Pilar de la Horadada,nearby,"road-bike",,,business_index_confirmed,"Advertises delivery to La Manga Club / Mar Menor"
Momoven KTM 790 Adventure,Los Alcazares,nearby,"motorcycle",,https://www.momoven.es/alquiler-de-motos/los-alcazares/ktm/790-adventure-8479,marketplace_only,"Demand/supply signal only; not permanent provider seed"
Quad/Buggy local supply,La Manga / Cabo de Palos,direct,"quad|buggy",,,gap,"No sufficiently current commercial provider found in first pass"
