provider,locality,coverage,use_mode,vehicle_or_experience,status,public_price,licence_note,source_url,hoy_note
Ecomobike / La Manga Bike,La Manga km 1-1.5,hyperlocal,self-drive,"Vespa; 125cc motorcycles/scooters; e-bike; car",current_first_party,"125cc scooter from 50 EUR/day","provider labels 125cc scooter B-1; HOY must independently calculate legal eligibility per licence origin and exact vehicle",https://lamangabike.com/,"Very close to Villa Gawy test area; exact fleet/model/homologation and insurance rules still need capture."
Bikes & Quads,La Manga km 6.2-6.7,hyperlocal,self-drive,"road-legal quads; off-road buggies; motorcycles/scooters historically",legacy_high_priority_verify,,"legacy source says full driving licence",https://lamangainsider.com/activities/quad-biking/,"Extremely important lead because it matches the HOY use case and is close to Villa Gawy, but current 2026 operation could not be independently verified. Never publish as current until reverified."
Gougo Motosharing,La Manga / Cabo de Palos,hyperlocal,self-drive,electric-motorcycle,historic_reverify,,"historic service required A1 or B with >3 years according to public launch information; HOY must not reuse this as a universal foreign-licence rule",https://murciaeconomia.com/archive/97296/gougo-motosharing-transforma-la-movilidad-en-la-manga-durante-el-verano,"Regional reporting documented strong summer use in La Manga/Cabo in 2024; 2026 operation unresolved."
Momoven KTM 790 Adventure,Los Alcazares,nearby,self-drive,motorcycle-adventure,marketplace_current_candidate,,"platform shows A/A2; minimum age 23",https://www.momoven.es/alquiler-de-motos/los-alcazares/ktm/790-adventure-8479,"Current indexed peer-to-peer option; volatile inventory, so availability must be live and it is not a permanent HOY provider seed."
Momoven Yamaha XSR 700,Cartagena,nearby,self-drive,motorcycle-naked,marketplace_current_candidate,,"platform shows A/A2",https://www.momoven.es/en/rent-motorcycle/cartagena/yamaha/xsr-700-7535,"Verified owner and multiple rentals shown; strong real-motorcycle example. Live availability only."
Momoven Honda CB600F Hornet,Cartagena,nearby,self-drive,motorcycle-naked,marketplace_current_candidate,"45 EUR/day shown in recent index","platform shows A; minimum age 23",https://www.momoven.es/alquiler-de-motos/cartagena/honda/cb-600-f-hornet-3787,"Current/recent peer-to-peer motorcycle signal; live availability only."
DFM Rent a Car Cartagena,Cartagena,nearby,self-drive,motorcycle,business_index_lead,,, ,"Current local index classifies as motorcycle rental agency; first-party fleet and delivery evidence required before production."
Pacutos,San Javier,nearby,partner-lead,"Can-Am Spyder/Ryker; Can-Am ATV; Can-Am SSV",dealer_not_rental,,,https://pacutos.com/,"Official BRP Sea-Doo/Can-Am dealer in San Javier. Not a confirmed rental provider. Very high-value future partner lead for a delivery/rental concept because it is close to the Mar Menor and sells/serves the exact special-vehicle classes HOY wants. No outreach yet."
Motor Rent,San Miguel de Salinas,destination,guided,"Can-Am Trail 800cc buggy; SSV 550/800cc; Quad ATV 450cc",current_first_party,"Can-Am Trail 800cc guided 1h30 / 2 persons: 150 EUR","driving licence required by provider; exact legal licence equivalence still subject to HOY check",https://motor-rent.es/tours/,"Strong current special-vehicle benchmark. Guided 90% off-road experience, not personal transport rental."
Playa Wheels,Orihuela Costa,extended_nearby,self-drive,"50cc scooter; 125cc scooter; Vespa 300cc GTS",current_first_party,"50cc 35 EUR/day; 125cc 40 EUR/day; Vespa 300cc 45 EUR/day","provider/licence rules still need exact capture",https://playa-wheels.com/,"Useful nearby benchmark with transparent scooter pricing; more interesting than a basic bike but still not the full Special Vehicles ambition."
Ecoadventure,Bolnuevo / Mazarron,destination,guided,"100% electric buggy guided/audioguided route",current_official_tourism,,,https://www.turismoregiondemurcia.es/es/empresa_turismo_activo/ecoadventure-8758/,"Official Murcia tourism listing. Farther from La Manga; destination experience rather than daily mobility."
Wanted inventory,La Manga / Mar Menor,demand-led,self-drive,"Can-Am Ryker/Spyder/Canyon rental; road-homologated Sur-Ron; quad; recreational buggy; unusual EV/fun car",gap,,, ,"Do not fake supply. Maintain as wanted inventory and later recruit verified providers capable of delivery/collection to La Manga accommodation."
